filename,newfilename,name,alias
0B.png,BMS.png,Blue Air,
0C.png,,Catovair,
0J.png,,Premium Jet AG,
0O.png,,STA Travel,
0P.png,,Palau Pacific Airways,
0V.png,VFC.png,Vietnam Air Services Company,
0W.png,,W Caribbean Costa Rica,
1A.png,AGT.png,Amadeus,
1B.png,,Abacus,Abacus
1C.png,,EDS Information Business,Gemini
1D.png,,Raddix Solutions,
1E.png,,Travelsky Technology,Civil China
1F.png,TTF.png,Infini Travel Information,
1G.png,,Travelport Galileo,Galileo
1H.png,,Sirena Travel,
1I.png,,Netjets Aviation,
1J.png,,Axess International,
1K.png,,Sutra,Southern
1L.png,,Navitaire Open Skies,
1M.png,,Sirena Jsc,Sertel
1N.png,,Navitaire New Skies,
1O.png,,Phoenix Systems Dertours,
1P.png,WSP.png,Travelport Worldspan,Worldspan
1Q.png,,Joint Stock Company Ital,
1R.png,,Bird Information Systems,
1S.png,,Sabre,
1T.png,,East Line,
1U.png,,ITA Software,Google ITA
1V.png,,Galileo International,Covia
1W.png,,Sabre,
1X.png,,Branson Air Express,
1Y.png,,Electronic Data Systems (EDS),
1Z.png,APD.png,Fantasia Info Network,Asia Pacific
2A.png,DBB.png,Deutsche Bahn,
2B.png,AWT.png,Albawings,
2C.png,,SNCF,
2D.png,EAL.png,"Eastern Airlines, LLC",
2E.png,EIX.png,Smokey Bay Air,Ei Air Export
2F.png,FAV.png,Fair Aviation,
2G.png,,Angara Airlines,
2H.png,,Thalys,
2I.png,SRU.png,Star Perú,
2J.png,VBW.png,Air Burkina,
2K.png,GLG.png,Aerolineas Galapagos,Aerogal
2L.png,OAW.png,Helvetic Airways,2L Helvetic
2M.png,MYD.png,Maya Island Air,
2N.png,NTJ.png,Nextjet,
2O.png,RNE.png,Redemption,
2P.png,GAP.png,PAL Express,
2Q.png,SNC.png,Air Cargo Carriers,
2R.png,VRR.png,VIA Rail Canada,
2S.png,,Air Carnival,
2T.png,TBS.png,Timbis Air,
2U.png,ERO.png,Ero Sun d'Or,
2V.png,,Amtrak,
2Z.png,PTB.png,Passaredo Transportes,
3A.png,,Chu Kong Passenger Transport,Mafira Air
3B.png,JBR.png,Job Air,
3C.png,,Calima Aviacion,Corporate Exp
3D.png,,Dokasch,
3E.png,OMQ.png,Multi Aero,Air Bretagne
3F.png,,Pacific Airways,
3G.png,CXM.png,AsiaCargo Express,
3H.png,AIE.png,Air Inuit,
3I.png,LFM.png,Pison Airways Ltd,Virgin Austra
3J.png,JBW.png,Jubba Airways Kenya,
3K.png,JSA.png,Jetstar Asia Airways,
3M.png,GFT.png,Silver Airways,
3N.png,URG.png,Air Urga,Airvantage
3O.png,MAC.png,Air Arabia Maroc,
3Q.png,,Carib Aviation Limited,Yunnan Air
3R.png,DVR.png,Divi Divi Air,
3S.png,,Air Antilles Express,
3T.png,TRQ.png,Tarco Air,Turan Air
3U.png,CSC.png,Sichuan Airlines,
3V.png,TAY.png,Tnt Airways,Viking Air
3W.png,MWI.png,Malawian Airlines,
3X.png,,Premier Trans Aire,
3Z.png,TVP.png,Travel Service Polska,
4A.png,AMP.png,Aero Transporte,ATSA
4B.png,TUP.png,Aviastar TU,
4C.png,ARE.png,LATAM Colombia,
4D.png,ASD.png,Air Sinai,
4E.png,TNR.png,Tanana Air Service,
4F.png,FDT.png,Freedom Airline Express,
4G.png,GZP.png,Gazpromavia,
4H.png,,United Airways Bangladesh,Trans Pacific
4I.png,IZM.png,Ihy Izmir Havayollari,
4J.png,,Flydamas Airlines,
4K.png,KBA.png,Kenn Borek Air,
4L.png,,Palau National Airlines,
4M.png,DSM.png,LATAM Argentina,
4N.png,,Air North,
4O.png,AIJ.png,Interjet,
4P.png,,Travel Air,
4Q.png,SFW.png,Safi Airways,
4R.png,SEK.png,Star East Airline,
4S.png,STB.png,Star Airways,Aerohonduras
4T.png,,Belair Airlines,Russian Air
4U.png,GWI.png,Germanwings,
4V.png,,Lacbravo,
4W.png,VNA.png,Warbelows Air Ventures,
4X.png,ANX.png,Atlantic Express Airline,
4Y.png,TUD.png,Flight Alaska,Yute Air Alaska
4Z.png,LNK.png,Airlink,
5B.png,BSX.png,Bassaka Air,
5C.png,,Nature Air,
5D.png,SLI.png,Aeroméxico Connect,Aeromexico Connect
5E.png,JTM.png,East Coast Flight Services,
5F.png,FIA.png,Fly One,
5H.png,FFV.png,Five Fourty Aviation,
5I.png,,ALSA,Alsa Grupo SLU
5J.png,CEB.png,Cebu Pacific,
5K.png,HFY.png,Hi Fly,
5L.png,,Fly Salone,
5M.png,MNT.png,Montserrat Airways,Sibaviatrans
5N.png,AUL.png,Jsc Nordavia,Jsc Nordavia
5O.png,FPO.png,ASL Airlines France,
5P.png,PCP.png,PAL Airlines,Aerolinea Principal Chile
5R.png,RUC.png,RUTACA Airlines,
5S.png,PSV.png,Servicios Aereos Profesionales,
5T.png,MPE.png,Canadian North,
5U.png,TGU.png,Transportes Aéreos Guatemaltecos,
5V.png,,Everts,Lviv Airlines
5W.png,,WESTBahn,
5X.png,UPS.png,UPS Airlines,
5Y.png,GTI.png,Atlas Air,
5Z.png,KEM.png,CemAir,
6A.png,AMW.png,Armenia Airways,
6B.png,BLX.png,Tuifly Nordic,Britannia
6C.png,,Air Timor,
6D.png,TVQ.png,Travel Service Slovensko,
6E.png,IGO.png,IndiGo,
6F.png,PRW.png,Primera Air Nordic,
6G.png,LTD.png,Executive Express Aviation,
6H.png,ISR.png,Israir Airlines,Israir Airlin
6I.png,,Air Alsie,
6J.png,,Solaseed Air,
6K.png,SGB.png,Songbird Airways,
6L.png,AKK.png,Aklak Air,
6M.png,,Air Minas Linhas Aereas,
6N.png,NIN.png,Niger Airlines,
6O.png,OBS.png,Orbest,
6Q.png,SAW.png,Cham Wings Airlines,Slovak Arlines
6R.png,DRU.png,ALROSA,
6S.png,SGQ.png,Saudi Gulf Airlines,
6T.png,,Air Mandalay,
6V.png,,Avanza,Mars Rk
6W.png,,Saratov Airlines,
6Y.png,ART.png,SmartLynx Airlines,
6Z.png,,Eurasia Air,
7A.png,XRC.png,Express Air Cargo,
7B.png,,Fly Blue Crane,
7C.png,JJA.png,Jeju Air,
7D.png,,MGC Aviation,
7E.png,AWU.png,Sylt Air,
7F.png,FAB.png,First Air,First Air
7G.png,SFJ.png,StarFlyer,
7H.png,RVF.png,Ravn Alaska,
7I.png,INC.png,Insel Air International,
7J.png,TJK.png,Tajik Air,
7K.png,,Kogalymavia Airlines,
7L.png,CRN.png,Aero Caribbean,
7M.png,MYI.png,Mayair,Aeromonterr
7N.png,PWD.png,PAWA Dominicana,
7O.png,TVL.png,Travel Service Hungary,
7P.png,PST.png,Air Panama,
7Q.png,,Elite Airways,
7R.png,RLU.png,RusLine,
7S.png,RYA.png,Ryan Air Services,
7T.png,,Trenitalia,
7U.png,,Alpha Air Transport,
7V.png,,Federal Airlines,Federal Airlines
7W.png,WRC.png,Wind Rose Aviation,
7Y.png,MYP.png,Mann Yadanarpon Airlines,
7Z.png,,Halcyon Air Cabo Verde,
8A.png,,Panama Airways,
8B.png,TNU.png,TransNusa Air Services,
8C.png,ATN.png,Air Transport International,
8D.png,,Servant Air,
8E.png,BRG.png,Bering Air,
